relation	probability	sentence	left_entity	left_entity_tag	left_entity_span	right_entity	right_entity_tag	right_entity_span
TeRP	0.9982	Rare crackles on the right base , otherwise clear to auscultation bilaterally .	auscultation bilaterally	[TEST]	53_77	rare crackles on the right base	[PROBLEM]	0_31
TeRP	0.9518	Pt. was initially admitted to CCU on 2017-09-03 , transferred to Pendleton on 2017-09-05 , triggered on 2017-09-10 for hypotension with BP 67/38 and transferred back to CCU on 2017-09-10 .	bp	[TEST]	136_138	hypotension	[PROBLEM]	119_130
TrAP	0.9930	This is a 55-year-old female with multiple prior admissions for pneumonia , COPD , asthma exacerbation , over 3 weeks of upper respiratory like infection unremitting with increased nebulizer treatments at home .	increased nebulizer treatments	[TREATMENT]	171_201	copd	[PROBLEM]	76_80
TrCP	0.9936	The patient had a bone marrow biopsy which showed myeloid arrest and probable neutropenia from a drug-related cause presumed to be the sulfasalazine .	the sulfasalazine	[TREATMENT]	131_148	neutropenia	[PROBLEM]	78_89
TeCP	0.9900	Podiatry continued to follow for evaluation of his left foot ulcer .	evaluation	[TEST]	33_43	his left foot ulcer	[PROBLEM]	47_66
PIP	0.9996	There was severe diffuse peritonitis with intense inflammation , infection , and patchy necrosis of peritoneal surfaces and of the distal pancreas .	patchy necrosis of peritoneal surfaces	[PROBLEM]	81_119	severe diffuse peritonitis	[PROBLEM]	10_36
TeRP	0.9989	At that time a pelvic ultrasound was performed showing extensive fluid and clear mass within the pelvi-abdominal cavity .	a pelvic ultrasound	[TEST]	13_32	extensive fluid	[PROBLEM]	55_70
TrCP	0.9804	However after the procedure , the patient &apos;s hematocrit dropped to 24 and he was transfused two units of packed red blood cells .	the procedure	[TREATMENT]	14_27	the patient &apos;s hematocrit dropped	[PROBLEM]	30_68
TeRP	0.9984	He had a barium swallow and endoscopy and was said not to have gastric or pericardial ulcer .	a barium swallow	[TEST]	7_23	gastric or pericardial ulcer	[PROBLEM]	63_91
TeRP	0.9989	She was was seen at Hallmark Health System heme / on clinic 10-09 and had repeat CT scan which revealed metastatic cholangiocarcinoma with mets to the ovaries , with tremendous increase in metastatic disease .	repeat ct scan	[TEST]	74_88	mets to the ovaries	[PROBLEM]	139_158
TrAP	0.9984	Beginning today , she was noted to be in hypoxic respiratory distress , 87-91% on 2L/NC .	2l/nc	[TREATMENT]	82_87	hypoxic respiratory distress	[PROBLEM]	41_69
TeRP	0.9989	A repeat head ultrasound on day of life 33 06-07 showed a slight increase of echogenicity in the caudothalamic groove , which may represent tiny bilateral germinal matrix hemorrhages , no periventricular leukomalacia .	a repeat head ultrasound	[TEST]	0_24	periventricular leukomalacia	[PROBLEM]	188_216
TeRP	0.9988	1. Exploratory laparotomy with drainage of intra-abdominal abscess and peritonitis with gross soilage with bile and gastric contents .	exploratory laparotomy	[TEST]	3_25	gross soilage with bile and gastric contents	[PROBLEM]	88_132
PIP	0.9997	This is an abnormal EEG due to the presence of a low voltage and slow background consistent with a severe encephalopathy of toxic , metabolic , or anoxic etiology .	a severe encephalopathy	[PROBLEM]	97_120	slow background	[PROBLEM]	65_80
TeRP	0.9988	Past medical history is as stated above , aortic stenosis , found to be critical on echocardiogram on 4-13-92 , done in Otte A , New Jersey and was found to have left ventricular hypertrophy and ejection fraction of 58% , no right heart wall motion abnormali-ties and an aortic valve gradient of greater than 100 .	echocardiogram	[TEST]	84_98	left ventricular hypertrophy	[PROBLEM]	162_190
PIP	0.9997	IF SIGNS AND SYMPTOMS OF WOUND INFECTION , SUCH AS SUDDEN FEVER , INCREASED PAIN , NAUSEA / VOMITING , PURULENT DISCHARGE , PLEASE GO TO THE EMERGENCY ROOM OR CALL .	wound infection	[PROBLEM]	25_40	increased pain	[PROBLEM]	66_80
TeCP	0.9737	Examination of the sternal wound showed an opened area in the mid region of the wound with serosanguineous drainage and a scant amount of thick , yellow pus .	examination	[TEST]	0_11	a scant amount of thick , yellow pus	[PROBLEM]	120_156
TrCP	0.9932	Her allergies are penicillin , which cause throat edema .	penicillin	[TREATMENT]	18_28	her allergies	[PROBLEM]	0_13
TeCP	0.9848	HIV , viral load 954 , 7/03 - H. Pylori pos. , asthma	viral load	[TEST]	6_16	hiv	[PROBLEM]	0_3
TrAP	0.9984	4. DM : on metformin at home , will hold given cath / dye adn cover with SSI	ssi	[TREATMENT]	73_76	dm	[PROBLEM]	3_5
PIP	0.9997	The Neurology Service evaluated the patient who felt that her agitation was most likely due to infection , her multiple medications , or her metabolic condition .	her agitation	[PROBLEM]	58_71	her metabolic condition	[PROBLEM]	137_160
TrAP	0.9974	During the operation , the patient received 13 units of packed red blood cells , four units of fresh frozen plasma and one unit of platelets with an estimated blood loss of 1500 cc .	packed red blood cells	[TREATMENT]	56_78	an estimated blood loss	[PROBLEM]	146_169
TeRP	0.9972	Workup on admission included a chest x-ray negative for pneumonia , an MRI of the liver to investigate for focal lesion , with no evidence for abscess or focal lesion on report .	workup on admission	[TEST]	0_19	focal lesion	[PROBLEM]	107_119
PIP	0.9997	His hypertension ; his high blood pressure was controlled with intravenous nitroglycerine in the early going and then he was switched to an oral regimen for better control after he was removed from the Intensive Care Unit .	his hypertension	[PROBLEM]	0_16	his high blood pressure	[PROBLEM]	19_42
PIP	0.9997	The patient &apos;s clinical situation was most consistent with a Pseudomonas cellulitis and subsequent sepsis .	the patient &apos;s clinical situation	[PROBLEM]	0_38	a pseudomonas cellulitis	[PROBLEM]	64_88
TeRP	0.9989	An ultrasound of the right upper quadrant did not reveal any cholelithiasis or cholecystitis , however , an irregular hepatic contour was seen which is suggestive of underlying chronic liver disease .	an ultrasound of the right upper quadrant	[TEST]	0_41	cholecystitis	[PROBLEM]	79_92
TeRP	0.9989	A thallium stress test showed tachycardia and severe dyspnea as well as a fall in blood pressure with low level exercise .	a thallium stress test	[TEST]	0_22	tachycardia	[PROBLEM]	30_41
TeRP	0.9987	He has a history of chronic renal insufficiency likely secondary to hypertension and was admitted with a creatinine of 1.6 .	a creatinine	[TEST]	103_115	chronic renal insufficiency	[PROBLEM]	20_47
TeRP	0.9984	On review of systems , denies fevers , has pain in the left foot , no shortness of breath or chest pain .	review of systems	[TEST]	3_20	chest pain	[PROBLEM]	93_103
TrAP	0.9989	Asthma / COPD on BiPAP , history of intubation .	bipap	[TREATMENT]	17_22	asthma	[PROBLEM]	0_6
PIP	0.9996	Patient says pain is similar in location and quality to the pain she had with her MI , although with her MI the pain was much more intense ( 20x worse ) .	pain	[PROBLEM]	13_17	the pain	[PROBLEM]	56_64
PIP	0.9997	Subsequent to that the patients abdomen was significantly less distended and her pain decreased as well .	significantly less distended	[PROBLEM]	44_72	her pain	[PROBLEM]	77_85
PIP	0.9996	This is an 80 year old female with a history of Stage I breast cancer , hypertension , hyperlipidemia , who presents with a leukocytosis/bandemia , hypotension in the setting of dehydration and influenza .	hypotension	[PROBLEM]	148_159	influenza	[PROBLEM]	194_203
TeRP	0.9988	Cultures were negative and onlyon one gram stain did it show rare gram negative rods .	one gram stain	[TEST]	34_48	rare gram negative rods	[PROBLEM]	61_84
TeCP	0.9711	Due to the risks of coronary ischemia if this represented an LCAPA , the infant was followed with regular ECHOs and EKGs during the remainder of hospitalization , with no evidence of ischemia , valvular regurgitation , or compromised ventricular function .	regular echos	[TEST]	98_111	ischemia	[PROBLEM]	183_191
PIP	0.9995	Patient experienced steady decline , with persistent fevers despite all above measures , progressive areas of skin infection , more frequent episodes of confusion , and decreasing oxygen saturation in the setting of bilateral effusion , in the setting of fluid surge spacing .	bilateral effusion	[PROBLEM]	216_234	fluid surge spacing	[PROBLEM]	255_274
TeRP	0.9985	The results of these studies suggested that the patient &apos;s symptoms were not due to subclavian steal phenomenon , and therefore , it was decided that the patient would not go further to angio and / or surgical or percutaneous intervention .	these studies	[TEST]	15_28	subclavian steal phenomenon	[PROBLEM]	89_116
TeRP	0.9988	EEG was performed and revealed encephalopathy .	eeg	[TEST]	0_3	encephalopathy	[PROBLEM]	31_45
TeRP	0.9989	He underwent cardiac catheterization which showed an 80% LAD lesion , chronically occluded RCA , anneurysmal mid LCX w/50% lesion .	cardiac catheterization	[TEST]	13_36	an 80% lad lesion	[PROBLEM]	50_67
TeRP	0.9989	MR studies revealed a large left middle cerebral artery infarction with multiple smaller posterior circulation infarctions .	mr studies	[TEST]	0_10	a large left middle cerebral artery infarction	[PROBLEM]	20_66
PIP	0.9997	A chest x-ray with bilateral patchy infiltrates likely pneumonia and UTI .	bilateral patchy infiltrates	[PROBLEM]	19_47	pneumonia	[PROBLEM]	55_64
TrAP	0.9992	Chemotherapy for metastatic cervical cancer was discussed with the patient and she was started on 5-FU 800 mg per meter squared days 06/18 , 06/19 , and 06/20 .	5-fu	[TREATMENT]	98_102	metastatic cervical cancer	[PROBLEM]	17_43
TrAP	0.9988	She was treated with captopril for hypertension , and this was switched to Norvasc 7.5 mg p.o. q.d. on discharge .	norvasc	[TREATMENT]	75_82	hypertension	[PROBLEM]	35_47
TrAP	0.9940	Mr. Mcelveen is a 51 year-old male with metastatic RCC status post left radical nephrectomy in 2018-03-21 , status post Avastin and sorafenib , most recently on Sutent monotherapy since 2018-12-21 , with mild renal insufficiency , who presented from home on 2019-06-14 with shortness of breath and fever .	sorafenib	[TREATMENT]	132_141	metastatic rcc	[PROBLEM]	40_54
TeRP	0.9986	The CCU fellow and team declined to do pericardial drainage , as the pt was hemodynamically stable , without change in appearance of effusion by echo performed at bedside by cards fellow .	echo	[TEST]	145_149	change in appearance of effusion	[PROBLEM]	109_141
TrAP	0.9981	This is an 82 - year-old male with a history of prior tobacco use , hypertension , chronic renal insufficiency , COPD , gastritis , and TIA who initially presented to Braintree with a non-ST elevation MI and Guaiac positive stools , transferred to St. Margaret's Center for Women & Infants for cardiac catheterization with PTCA to mid LAD lesion complicated by hypotension and bradycardia requiring Atropine , IV fluids and transient dopamine possibly secondary to vagal reaction , subsequently transferred to CCU for close monitoring , hemodynamically stable at the time of admission to the CCU .	atropine	[TREATMENT]	399_407	bradycardia	[PROBLEM]	377_388
PIP	0.9997	The patient had signs and symptoms develop of SBP , also with an elevated white count .	sbp	[PROBLEM]	46_49	symptoms	[PROBLEM]	26_34
PIP	0.9997	Her postoperative course was marked only by prolonged ileus , perhaps secondary to constipation , with persistent vomiting , requiring intravenous fluids , however , on 03/07/92 , she had a large bowel movement , after aggressive bowel regime , felt significantly better , was able to tolerate PO &apos;s .	prolonged ileus	[PROBLEM]	44_59	constipation	[PROBLEM]	83_95
TrAP	0.9990	He was placed on Penicillin G , Clindamycin , for empiric coverage of his wound , with Group A strep growth from the New England Baptist Hospital-Bryce cultures .	clindamycin	[TREATMENT]	32_43	his wound	[PROBLEM]	70_79
TrAP	0.9913	Dr. Asha Vengloan of General Surgery consulted on the patient and concluded the patient does not require any surgical treatment of this problem at the current time and the best treatment for this situation would be to increase the patient &apos;s nutrition .	the best treatment	[TREATMENT]	168_186	this problem	[PROBLEM]	131_143
TrAP	0.9986	64 F with breast CA s/p mastectomy 17 y ago with local recurrence leading to paralysis of L arm ~ 5-6 y ago .	mastectomy	[TREATMENT]	24_34	breast ca	[PROBLEM]	10_19
TrAP	0.9992	Once the organism was identified , he was transitioned to a regimen of intravenous penicillin and oral levofloxacin , which had successfully treated the infection during his most recent admission 1 year prior .	oral levofloxacin	[TREATMENT]	98_115	the organism	[PROBLEM]	5_17
PIP	0.9996	The acute onset of chest pain was initially very concerning for a PE , however the Chest CT demonstrated multifocal consolidation consistent with a bacterial PNA .	a pe	[PROBLEM]	64_68	the acute onset of chest pain	[PROBLEM]	0_29
TrIP	0.9709	His pain was well controlled with oral medication at this time .	oral medication	[TREATMENT]	34_49	his pain	[PROBLEM]	0_8
TeRP	0.9988	Further testing revealed hyperparathyroidism as evidenced by an elevated PTH .	further testing	[TEST]	0_15	hyperparathyroidism	[PROBLEM]	25_44
TrAP	0.9991	She required intubation for mild to moderate congestive heart failure , treated with diuretics , intravenous nitroglycerin and heparin .	diuretics	[TREATMENT]	85_94	mild to moderate congestive heart failure	[PROBLEM]	28_69
TeRP	0.9979	A renal consult was obtained and their assessment was that this was probably a mixture of hypovolemia as well as SIADH .	their assessment	[TEST]	33_49	hypovolemia	[PROBLEM]	90_101
TeRP	0.9988	Chest x-ray on admission revealed a large left pleural effusion .	chest x-ray	[TEST]	0_11	a large left pleural effusion	[PROBLEM]	34_63
TeRP	0.9989	Abdominal examination ; soft , non-tender , non-distended , normal active bowel sounds .	abdominal examination	[TEST]	0_21	non-distended	[PROBLEM]	44_57
PIP	0.9997	Dermatology and plastic surgery were consulted who felt that symptoms were due to trauma ; it was not felt that patient had compartment syndrome .	symptoms	[PROBLEM]	61_69	trauma	[PROBLEM]	82_88
PIP	0.9997	1. CAD : presented with anginal symptoms and EKG changes ( STEMI ) , with cardiac catheterization revealing lesions in LAD , LcX , and PLB .	ekg changes	[PROBLEM]	45_56	stemi	[PROBLEM]	59_64
PIP	0.9996	They felt that there was obstruction and possible obstruction to airflow generating some obstructive apnea , as well as partial obstructive events .	obstruction	[PROBLEM]	25_36	some obstructive apnea	[PROBLEM]	84_106
TeRP	0.9946	Gram stain and culture of the ascites failed to identify any organism .	gram stain	[TEST]	0_10	any organism	[PROBLEM]	57_69
PIP	0.9996	She did continue to have a persistent fairly severe cough ; however , her cough was weak due to abdominal muscle pain from repeated coughing .	weak	[PROBLEM]	84_88	abdominal muscle pain	[PROBLEM]	96_117
TrAP	0.9986	Coronary artery disease , status post coronary artery bypass grafting times three .	coronary artery bypass grafting	[TREATMENT]	38_69	coronary artery disease	[PROBLEM]	0_23
PIP	0.9997	Abdomen distended , mild tenderness on the left , bowel sounds present , nohepatosplenomegaly .	abdomen distended	[PROBLEM]	0_17	mild tenderness on the left	[PROBLEM]	20_47
TeRP	0.9989	She was was seen at Hallmark Health System heme / on clinic 10-09 and had repeat CT scan which revealed metastatic cholangiocarcinoma with mets to the ovaries , with tremendous increase in metastatic disease .	repeat ct scan	[TEST]	74_88	tremendous increase in metastatic disease	[PROBLEM]	166_207
TeRP	0.9989	Lactate was 6.3 , acetone negative , ammonia 26 , uric acids 26.9 , albumin 4.0 , globulin 3.0 , amylase 259 , lipase 34 , magnesium 3.5 , phosphorus 1.9 , calcium 9.4. The white blood count was 19.7 with 89% polys , 7% bands , 4% lymphs , with toxic granulations .	the white blood count	[TEST]	169_190	toxic granulations	[PROBLEM]	245_263
TrAP	0.9993	She received a total of 4 liters of NS then was started on levophed for continued hypotension .	levophed	[TREATMENT]	59_67	continued hypotension	[PROBLEM]	72_93
TrCP	0.9928	Mr. Olander had acute blood loss anemia from the combination of the gunshot wound to the right distal femur as well as requirements for urgent open reduction , internal fixation .	urgent open reduction	[TREATMENT]	136_157	acute blood loss anemia	[PROBLEM]	16_39
TrCP	0.9931	The patient was monitored for symptoms of Flolan therapy including nausea , vomiting , first bite jaw claudication , or hypotension .	flolan therapy	[TREATMENT]	42_56	vomiting	[PROBLEM]	76_84
TrAP	0.9991	The patient was consented for surgery and on the day of admission was taken to the operating room for transverse colectomy for tumor .	transverse colectomy	[TREATMENT]	102_122	tumor	[PROBLEM]	127_132
TrAP	0.9989	He was continued on p.o. prednisone and frequent nebulizers for COPD .	frequent nebulizers	[TREATMENT]	40_59	copd	[PROBLEM]	64_68
TeRP	0.9618	Significant for a lower left saphenous vein thrombosis diagnosed with lower extremity non-invasives and on May 2 , 1993 with no evidence of deep venous thrombosis and clearance by Dr. Ribreefcheampner for further intervention .	lower extremity non-invasives	[TEST]	70_99	a lower left saphenous vein thrombosis	[PROBLEM]	16_54
TrAP	0.9989	Severe hypertension , angina , GERD , peptic ulcer disease , status post Billroth II , ovarian cancer , status post TAH-BSO in 1987 with a negative second look laparotomy in 1988 , chronic anemia , chronic left ear infection .	billroth ii	[TREATMENT]	73_84	peptic ulcer disease	[PROBLEM]	38_58
PIP	0.9997	He had a differential diagnosis of asystole preceded by an acute rise in central venous pressure included attention pneumothorax , cardiac tamponade , and pulmonary embolism .	an acute rise in central venous pressure	[PROBLEM]	56_96	attention pneumothorax	[PROBLEM]	106_128
TrAP	0.9979	Her only medication is Thyrolar for her relative hypothyroidism following resection .	thyrolar	[TREATMENT]	23_31	her relative hypothyroidism	[PROBLEM]	36_63
TeRP	0.9988	Follow up computerized tomography scans and magnetic resonance imaging studies have shown infarction in bilateral basis pontis , mid brain , the superior cerebellar areas , left thalamus , bilateral temporal lobes medially and inferiorly and left posterior communicating artery .	computerized tomography scans	[TEST]	10_39	infarction in bilateral basis pontis , mid brain , the superior cerebellar areas , left thalamus , bilateral temporal lobes medially and inferiorly and left posterior communicating artery	[PROBLEM]	90_277
TrIP	0.9669	In TSICU , developed MRSA pneumonia with question of aspiration , treated Zosyn --> vanc / levo --> then 2 week course of Linazolid with resolution of fevers and decreased pulmonary secretions .	linazolid	[TREATMENT]	122_131	decreased pulmonary secretions	[PROBLEM]	162_192
PIP	0.9996	Given the likely embolic etiology of infarct , carotid doppler and TTE were performed .	embolic etiology	[PROBLEM]	17_33	infarct	[PROBLEM]	37_44
PIP	0.9997	UE strength intact but poor motor movements due to loss of sensation .	loss of sensation	[PROBLEM]	51_68	poor motor movements	[PROBLEM]	23_43
TrCP	0.9923	She had some mental status changes with confusion and hallucinations on 06/18 originating from narcotics versus decreased pO2 .	narcotics	[TREATMENT]	95_104	confusion	[PROBLEM]	40_49
PIP	0.9997	4. Anemia , transfusion dependent every three months .	transfusion dependent	[PROBLEM]	12_33	anemia	[PROBLEM]	3_9
TrAP	0.9990	Per family , the patient has had worsening CHF/volume overload over the last several weeks , requiring supplemental O2 at rehab .	supplemental o2	[TREATMENT]	103_118	worsening chf/volume overload	[PROBLEM]	33_62
PIP	0.9997	Uterine atony , postpartum hemorrhage	postpartum hemorrhage	[PROBLEM]	16_37	uterine atony	[PROBLEM]	0_13
TrAP	0.9991	She will complete a 14 day course of levofloxacin for her bacteremia on 2019-07-30 .	levofloxacin	[TREATMENT]	37_49	her bacteremia	[PROBLEM]	54_68
TeRP	0.9985	Because of this continued agitation , a head CT was performed on 07/01/00 and it revealed an intraparenchymal hemorrhage .	a head ct	[TEST]	38_47	an intraparenchymal hemorrhage	[PROBLEM]	90_120
TeRP	0.9989	This CAT scan revealed possible worsening and was read as epidural versus subdural bleed .	this cat scan	[TEST]	0_13	epidural	[PROBLEM]	58_66
TeRP	0.9988	A postoperative MRI was obtained which revealed no remarkable findings but only post surgical changes .	a postoperative mri	[TEST]	0_19	post surgical changes	[PROBLEM]	80_101
PIP	0.9996	The patient has a history of baseline dementia which was confounded by delerium in the face of metabolic abnormalities .	metabolic abnormalities	[PROBLEM]	95_118	delerium	[PROBLEM]	71_79
TeCP	0.9853	1. Coronary artery disease status post non-ST-elevation myocardial infarction in 2009-05-05 , status post cardiac catheterization with left anterior descending artery stent placement in 05/2001 .	cardiac catheterization	[TEST]	106_129	non-st-elevation myocardial infarction	[PROBLEM]	39_77
TeRP	0.9988	The endometrial biopsy showed grade 1 endometrial cancer .	the endometrial biopsy	[TEST]	0_22	grade 1 endometrial cancer	[PROBLEM]	30_56
TrAP	0.9989	She has had continuing vaginal discharge , and was diagnosed with bacterial vaginosis one day prior to admission , and was given a prescription for Flagyl .	flagyl	[TREATMENT]	148_154	bacterial vaginosis	[PROBLEM]	66_85
TeRP	0.9988	Electrocardiogram showed atrial fibrillation with rapid ventricular response and atrial flutter .	electrocardiogram	[TEST]	0_17	rapid ventricular response	[PROBLEM]	50_76
PIP	0.9996	Pt is now s/p drainage of right pleural effusion , diagnostic and therapeutic , with studies consistent with transudate , etiology most likely 02-15 CHF .	transudate	[PROBLEM]	109_119	chf	[PROBLEM]	149_152
TeCP	0.9893	Plans to follow up with outpatient MRA to rule out ischemic causes of post prandial pain , as well as HIDA with CK challenge to evaluate for biliary dyskinesia without stasis .	outpatient mra	[TEST]	24_38	post prandial pain	[PROBLEM]	70_88
PIP	0.9997	3. 2014-09-24 left MCA stroke leaving him with right facial droop	left mca stroke	[PROBLEM]	14_29	right facial droop	[PROBLEM]	47_65
TrAP	0.9991	The patient was started on Levofloxacin 250 mg p.o. q. day times seven days for a possible nosocomial urinary tract infection .	levofloxacin	[TREATMENT]	27_39	nosocomial urinary tract infection	[PROBLEM]	91_125
PIP	0.9997	vomiting and dehydration , hypokalemia , hyponatremia , tonsillitis .	dehydration	[PROBLEM]	13_24	vomiting	[PROBLEM]	0_8
TeRP	0.9988	Sensory exam showed some leftsided errors with pinprick and proprioception .	sensory exam	[TEST]	0_12	leftsided errors	[PROBLEM]	25_41
TrAP	0.9984	excesive sedation RR &lt; 6 FLEXERIL ( CYCLOBENZAPRINE HCL ) 10 MG PO TID PRN Pain	flexeril ( cyclobenzaprine hcl )	[TREATMENT]	28_60	pain	[PROBLEM]	78_82
TrAP	0.9992	She was treated with vancomycin to cover her MRSA pneumonia .	vancomycin	[TREATMENT]	21_31	her mrsa pneumonia	[PROBLEM]	41_59
TrAP	0.9681	6) History of temporal arteritis on chronic steroids .	chronic steroids	[TREATMENT]	36_52	temporal arteritis	[PROBLEM]	14_32
TrCP	0.9928	Of note , the patient has extreme pain with these dressing changes and requires parenteral morphine sulfate for pain control during dressing changes .	these dressing changes	[TREATMENT]	44_66	extreme pain	[PROBLEM]	26_38
TeCP	0.9835	She concomitantly had loose stools which were C. diff negative .	c. diff	[TEST]	46_53	loose stools	[PROBLEM]	22_34
PIP	0.9997	Moderate to severe enlargement of the cardiac silhouette , and particularly the left atrium accompanied by pulmonary vascular congestion and mild pulmonary edema consistent with heart failure .	moderate to severe enlargement of the cardiac silhouette	[PROBLEM]	0_56	mild pulmonary edema	[PROBLEM]	141_161
TeRP	0.9988	A Swan was placed and initial readings were CVP of 6 , wedge pressure of 10 to 12 , cardiac index of 4.7 , and SVR of 438 all consistent with a Pseudomonas sepsis picture .	svr	[TEST]	111_114	a pseudomonas sepsis picture	[PROBLEM]	142_170
TeCP	0.9738	Due to the risks of coronary ischemia if this represented an LCAPA , the infant was followed with regular ECHOs and EKGs during the remainder of hospitalization , with no evidence of ischemia , valvular regurgitation , or compromised ventricular function .	regular echos	[TEST]	98_111	valvular regurgitation	[PROBLEM]	194_216
TrAP	0.9983	Colace 100 mg. po bid , Captopril 50 mg. po tid , Nifedipine 20 mg. po q 6 hours and Nifedipine 20 mg. po or sublingual q 3 hours prn systolic blood pressure greater than 160 millemeters of Mercury .	nifedipine	[TREATMENT]	85_95	systolic blood pressure greater than 160 millemeters of mercury	[PROBLEM]	134_197
TrAP	0.9985	Pt is now s/p drainage of right pleural effusion , diagnostic and therapeutic , with studies consistent with transudate , etiology most likely 02-15 CHF .	drainage	[TREATMENT]	14_22	right pleural effusion	[PROBLEM]	26_48
TrAP	0.9988	PRINCIPAL DISCHARGE DIAGNOSIS ; Responsible After Study for Causing Admission ) VT s / p cardiac cath , stent and amio loading	amio loading	[TREATMENT]	114_126	vt	[PROBLEM]	80_82
TrCP	0.9913	The patient tolerated the procedure well and there were no complications .	the procedure	[TREATMENT]	22_35	complications	[PROBLEM]	59_72
TrCP	0.9904	In general , the patient was groggy status post anesthesia , shivering , but awake .	anesthesia	[TREATMENT]	48_58	groggy	[PROBLEM]	29_35
TeRP	0.9987	absomen soft , tender to palpation over RUQ , but no guarding or rebound	palpation over ruq	[TEST]	25_43	guarding	[PROBLEM]	53_61
TrWP	0.7470	He was seen in the brain tumor clinic on 05-21 and stitches were placed in the incision , however it continued to leak .	stitches	[TREATMENT]	51_59	the incision	[PROBLEM]	75_87
TeRP	0.9984	Over the ensuing twenty-four hours , bilateral infiltrates on chest X-ray with poor oxygenation and labile blood pressure requiring PA line guided fluid and pressors developed .	chest x-ray	[TEST]	62_73	bilateral infiltrates	[PROBLEM]	37_58
PIP	0.9997	She has had progressive heart failure and an evaluation demonstrated worsening mitral stenosis with severe pulmonary hypertension .	progressive heart failure	[PROBLEM]	12_37	worsening mitral stenosis	[PROBLEM]	69_94
TeRP	0.9988	While having angiography , he had a transient increase in his blood pressure and became diaphoretic and thus precipitated the evaluation for cardiac disease .	angiography	[TEST]	13_24	a transient increase	[PROBLEM]	34_54
TeRP	0.9989	Cardiovascular exam revealed a regular rate and rhythm with no murmurs , rubs or gallops .	cardiovascular exam	[TEST]	0_19	rubs	[PROBLEM]	73_77
TeRP	0.9988	Chest x-ray showed cariogenic pulmonary edema and he was faring poorly .	chest x-ray	[TEST]	0_11	cariogenic pulmonary edema	[PROBLEM]	19_45
TrCP	0.9916	Patient recorded as having No Known Allergies to Drugs	drugs	[TREATMENT]	49_54	known allergies	[PROBLEM]	30_45
TrAP	0.9992	The patient was admitted to the Medical ICU where his hypotension was managed with IVF hydration and he was maintained on a diltiazam drip for atrial fibrillation .	a diltiazam drip	[TREATMENT]	122_138	atrial fibrillation	[PROBLEM]	143_162
TrAP	0.9992	6. Magnesium Hydroxide 400 mg / 5 mL Suspension Sig : Thirty ( 30 ) ML PO HS ( at bedtime ) as needed for constipation .	magnesium hydroxide	[TREATMENT]	3_22	constipation	[PROBLEM]	106_118
TeRP	0.9988	2. Cardiovascular - The infant was noted on CR-monitor to have premature ventricular contractions which resolved spontaneously .	cr-monitor	[TEST]	44_54	premature ventricular contractions	[PROBLEM]	63_97
PIP	0.9997	On exploration of the abdomen revealed significant nodularity of the liver indicating of advanced cirrhosis .	significant nodularity of the liver	[PROBLEM]	39_74	advanced cirrhosis	[PROBLEM]	89_107
PIP	0.9997	This work-up demonstrated a small left basal ganglia infarct , likely cardioembolic .	a small left basal ganglia infarct	[PROBLEM]	26_60	cardioembolic	[PROBLEM]	70_83
PIP	0.9996	- Seek medical attention for fevers ( temp &gt; 101.5 ) , worsening pain , drainage or excessive bleeding from incision , chest pain , shortness of breath , or any other symptoms of concern .	incision	[PROBLEM]	111_119	drainage	[PROBLEM]	75_83
TeRP	0.9989	EGD on 2013-12-08 demonstrated 5 cores of varices , grade 1 to 2 at the lower third of the esophagus .	egd	[TEST]	0_3	5 cores of varices	[PROBLEM]	31_49
TeRP	0.9828	57 yo F with h/o polyglandular autoimmune syndrome initially admitted in May to FICU for suicide overdose then transferred to Whittier Rehab Hospital 4 for depression , who was transferred to the medical floor for a syncopal episode and hypotension to 60 systolic that returned to baseline with 2.5L IVF who was subsequently transferred to the CMED CSRU for a recurrent episode of hypotension , fevers and concern for sepsis .	60 systolic	[TEST]	252_263	hypotension	[PROBLEM]	237_248
TeCP	0.9908	A second endoscopy was also performed several days later , in order to rule out a gastric ulcer , and also because the patient had had another episode of melena .	a second endoscopy	[TEST]	0_18	a gastric ulcer	[PROBLEM]	80_95
PIP	0.9997	4. New jejunal wall thickening with persistent distal ileal wall thickening and diffuse mesenteric stranding , most likely reflecting an infectious etiology .	an infectious etiology	[PROBLEM]	134_156	diffuse mesenteric stranding	[PROBLEM]	80_108
TeRP	0.9988	Muscle tone was increased throughout , and the legs were both extended and internally rotated .	muscle tone	[TEST]	0_11	increased throughout	[PROBLEM]	16_36
TeRP	0.9989	UA - trace protein , trace ketones , positive for bilirubin and nitrogen and also 4 to 6 wbcs with 1+ bacteria .	ua	[TEST]	0_2	4 to 6 wbcs	[PROBLEM]	82_93
TeRP	0.9987	xray - no evidence of effusion or fracture	xray	[TEST]	0_4	effusion	[PROBLEM]	22_30
TrAP	0.9612	In Monica , pt received charcoal , 500 mg IV levofloxacin , 500 mg IV metronidazole for presumed aspiration pna .	iv metronidazole	[TREATMENT]	67_83	aspiration pna	[PROBLEM]	97_111
TeRP	0.9988	Her CA-125 was 20 and she had a chest X-Ray that showed no infiltrates and a mammogram that showed a left upper quadrant large calcified fibroadenoma and right upper mid area of calcification .	a chest x-ray	[TEST]	30_43	infiltrates	[PROBLEM]	59_70
